北海道	pref.hokkaido.jp
青森県	pref.aomori.jp
岩手県	pref.iwate.jp
宮城県	pref.miyagi.jp
秋田県	pref.akita.jp
山形県	pref.yamagata.jp
福島県	pref.fukushima.jp
茨城県	pref.ibaraki.jp
栃木県	pref.tochigi.jp
群馬県	pref.gunma.jp
埼玉県	pref.saitama.jp
千葉県	pref.chiba.jp
東京都	metro.tokyo.jp
神奈川県	pref.kanagawa.jp
新潟県	pref.niigata.jp
富山県	pref.toyama.jp
石川県	pref.ishikawa.jp
福井県	pref.fukui.jp
山梨県	pref.yamanashi.jp
長野県	pref.nagano.jp
岐阜県	pref.gifu.jp
静岡県	pref.shizuoka.jp
愛知県	pref.aichi.jp
三重県	pref.mie.jp
滋賀県	pref.shiga.jp
京都府	pref.kyoto.jp
大阪府	pref.osaka.jp
兵庫県	pref.hyogo.jp
奈良県	pref.nara.jp
和歌山県	pref.wakayama.jp
鳥取県	pref.tottori.jp
島根県	pref.shimane.jp
岡山県	pref.okayama.jp
広島県	pref.hiroshima.jp
山口県	pref.yamaguchi.jp
徳島県	pref.tokushima.jp
香川県	pref.kagawa.jp
愛媛県	pref.ehime.jp
高知県	pref.kochi.jp
福岡県	pref.fukuoka.jp
佐賀県	pref.saga.jp
長崎県	pref.nagasaki.jp
熊本県	pref.kumamoto.jp
大分県	pref.oita.jp
宮崎県	pref.miyazaki.jp
鹿児島県	pref.kagoshima.jp
沖縄県	pref.okinawa.jp
