青森市	city.aomori.aomori.jp
弘前市	city.hirosaki.aomori.jp
八戸市	city.hachinohe.aomori.jp
黒石市	city.kuroishi.aomori.jp
#五所川原市	city.goshogawara.aomori.jp
#十和田市	city.towada.aomori.jp
#三沢市	city.misawa.aomori.jp
むつ市	city.mutsu.aomori.jp
つがる市	city.tsugaru.aomori.jp
#平川市	city.hirakawa.aomori.jp
平内町	town.hiranai.aomori.jp
#今別町	town.imabetsu.aomori.jp
#蓬田村	vill.yomogita.aomori.jp
#外ヶ浜町	town.sotogahama.aomori.jp
#鰺ヶ沢町	town.ajigasawa.aomori.jp
#深浦町	town.fukaura.aomori.jp
#西目屋村	vill.nishimeya.aomori.jp
#藤崎町	town.fujisaki.aomori.jp
#大鰐町	town.oowani.aomori.jp
#田舎館村	vill.inakadate.aomori.jp
板柳町	town.itayanagi.aomori.jp
#鶴田町	town.tsuruta.aomori.jp
中泊町	town.nakadomari.aomori.jp
野辺地町	town.noheji.aomori.jp
#七戸町	town.shichinohe.aomori.jp
六戸町	town.rokunohe.aomori.jp
#横浜町	town.yokohama.aomori.jp
#東北町	town.tohoku.aomori.jp
#六ヶ所村	vill.rokkasho.aomori.jp
おいらせ町	town.oirase.aomori.jp
#大間町	town.ooma.aomori.jp
#東通村	vill.higashidoori.aomori.jp
#風間浦村	vill.kazamaura.aomori.jp
#佐井村	vill.sai.aomori.jp
三戸町	town.sannohe.aomori.jp
五戸町	town.gonohe.aomori.jp
田子町	town.takko.aomori.jp
#南部町	town.nambu.aomori.jp
#階上町	town.hashikami.aomori.jp
新郷村	vill.shingo.aomori.jp
