盛岡市	city.morioka.iwate.jp
宮古市	city.miyako.iwate.jp
#大船渡市	city.oofunato.iwate.jp
花巻市	city.hanamaki.iwate.jp
北上市	city.kitakami.iwate.jp
久慈市	city.kuji.iwate.jp
#遠野市	city.toono.iwate.jp
一関市	city.ichinoseki.iwate.jp
陸前高田市	city.rikuzentakata.iwate.jp
釜石市	city.kamaishi.iwate.jp
二戸市	city.ninohe.iwate.jp
#八幡平市	city.hachimantai.iwate.jp
奥州市	city.oshu.iwate.jp
#滝沢市	city.takizawa.iwate.jp
雫石町	town.shizukuishi.iwate.jp
葛巻町	town.kuzumaki.iwate.jp
岩手町	town.iwate.iwate.jp
紫波町	town.shiwa.iwate.jp
矢巾町	town.yahaba.iwate.jp
#西和賀町	town.nishiwaga.iwate.jp
金ケ崎町	town.kanegasaki.iwate.jp
平泉町	town.hiraizumi.iwate.jp
住田町	town.sumita.iwate.jp
#大槌町	town.ootsuchi.iwate.jp
山田町	town.yamada.iwate.jp
岩泉町	town.iwaizumi.iwate.jp
田野畑村	vill.tanohata.iwate.jp
普代村	vill.fudai.iwate.jp
軽米町	town.karumai.iwate.jp
野田村	vill.noda.iwate.jp
九戸村	vill.kunohe.iwate.jp
洋野町	town.hirono.iwate.jp
一戸町	town.ichinohe.iwate.jp
