仙台市	city.sendai.jp
石巻市	city.ishinomaki.miyagi.jp
塩竈市	city.shiogama.miyagi.jp
#気仙沼市	city.kesennuma.miyagi.jp
白石市	city.shiroishi.miyagi.jp
名取市	city.natori.miyagi.jp
#角田市	city.kakuda.miyagi.jp
多賀城市	city.tagajo.miyagi.jp
岩沼市	city.iwanuma.miyagi.jp
登米市	city.tome.miyagi.jp
#栗原市	city.kurihara.miyagi.jp
東松島市	city.higashimatsushima.miyagi.jp
#大崎市	city.oosaki.miyagi.jp
#富谷市	city.tomiya.miyagi.jp
蔵王町	town.zao.miyagi.jp
七ヶ宿町	town.shichikashuku.miyagi.jp
#大河原町	town.oogawara.miyagi.jp
村田町	town.murata.miyagi.jp
柴田町	town.shibata.miyagi.jp
川崎町	town.kawasaki.miyagi.jp
丸森町	town.marumori.miyagi.jp
亘理町	town.watari.miyagi.jp
山元町	town.yamamoto.miyagi.jp
松島町	town.matsushima.miyagi.jp
#七ヶ浜町	town.shichigahama.miyagi.jp
利府町	town.rifu.miyagi.jp
大和町	town.taiwa.miyagi.jp
#大郷町	town.oosato.miyagi.jp
#大衡村	vill.oohira.miyagi.jp
色麻町	town.shikama.miyagi.jp
加美町	town.kami.miyagi.jp
涌谷町	town.wakuya.miyagi.jp
美里町	town.misato.miyagi.jp
女川町	town.onagawa.miyagi.jp
南三陸町	town.minamisanriku.miyagi.jp
