秋田市	city.akita.akita.jp
能代市	city.noshiro.akita.jp
#横手市	city.yokote.akita.jp
#大館市	city.oodate.akita.jp
男鹿市	city.oga.akita.jp
#湯沢市	city.yuzawa.akita.jp
鹿角市	city.kazuno.akita.jp
由利本荘市	city.yurihonjo.akita.jp
潟上市	city.katagami.akita.jp
大仙市	city.daisen.akita.jp
北秋田市	city.kitaakita.akita.jp
にかほ市	city.nikaho.akita.jp
仙北市	city.semboku.akita.jp
小坂町	town.kosaka.akita.jp
上小阿仁村	vill.kamikoani.akita.jp
藤里町	town.fujisato.akita.jp
三種町	town.mitane.akita.jp
#八峰町	town.happo.akita.jp
五城目町	town.gojome.akita.jp
八郎潟町	town.hachirogata.akita.jp
井川町	town.ikawa.akita.jp
#大潟村	vill.oogata.akita.jp
美郷町	town.misato.akita.jp
#羽後町	town.ugo.akita.jp
東成瀬村	vill.higashinaruse.akita.jp
