山形市	city.yamagata.yamagata.jp
米沢市	city.yonezawa.yamagata.jp
鶴岡市	city.tsuruoka.yamagata.jp
酒田市	city.sakata.yamagata.jp
新庄市	city.shinjo.yamagata.jp
寒河江市	city.sagae.yamagata.jp
上山市	city.kaminoyama.yamagata.jp
#村山市	city.murayama.yamagata.jp
長井市	city.nagai.yamagata.jp
天童市	city.tendo.yamagata.jp
東根市	city.higashine.yamagata.jp
尾花沢市	city.obanazawa.yamagata.jp
南陽市	city.nanyo.yamagata.jp
山辺町	town.yamanobe.yamagata.jp
中山町	town.nakayama.yamagata.jp
河北町	town.kahoku.yamagata.jp
西川町	town.nishikawa.yamagata.jp
朝日町	town.asahi.yamagata.jp
大江町	town.oe.yamagata.jp
大石田町	town.oishida.yamagata.jp
金山町	town.kaneyama.yamagata.jp
#最上町	town.mogami.yamagata.jp
舟形町	town.funagata.yamagata.jp
真室川町	town.mamurogawa.yamagata.jp
大蔵村	vill.ohkura.yamagata.jp
鮭川村	vill.sakegawa.yamagata.jp
戸沢村	vill.tozawa.yamagata.jp
高畠町	town.takahata.yamagata.jp
川西町	town.kawanishi.yamagata.jp
小国町	town.oguni.yamagata.jp
白鷹町	town.shirataka.yamagata.jp
飯豊町	town.iide.yamagata.jp
三川町	town.mikawa.yamagata.jp
#庄内町	town.shiyonai.yamagata.jp
遊佐町	town.yuza.yamagata.jp
