福島市	city.fukushima.fukushima.jp
会津若松市	city.aizuwakamatsu.fukushima.jp
#郡山市	city.kooriyama.fukushima.jp
いわき市	city.iwaki.fukushima.jp
白河市	city.shirakawa.fukushima.jp
須賀川市	city.sukagawa.fukushima.jp
喜多方市	city.kitakata.fukushima.jp
相馬市	city.soma.fukushima.jp
#二本松市	city.nihommatsu.fukushima.jp
#田村市	city.tamura.fukushima.jp
#南相馬市	city.minamisoma.fukushima.jp
伊達市	city.date.fukushima.jp
#本宮市	city.motomiya.fukushima.jp
桑折町	town.koori.fukushima.jp
国見町	town.kunimi.fukushima.jp
川俣町	town.kawamata.fukushima.jp
#大玉村	vill.ootama.fukushima.jp
鏡石町	town.kagamiishi.fukushima.jp
天栄村	vill.tenei.fukushima.jp
下郷町	town.shimogo.fukushima.jp
#檜枝岐村	vill.hinoemata.fukushima.jp
#只見町	town.tadami.fukushima.jp
#南会津町	town.minamiaizu.fukushima.jp
北塩原村	vill.kitashiobara.fukushima.jp
西会津町	town.nishiaizu.fukushima.jp
磐梯町	town.bandai.fukushima.jp
猪苗代町	town.inawashiro.fukushima.jp
会津坂下町	town.aizubange.fukushima.jp
湯川村	vill.yugawa.fukushima.jp
柳津町	town.yanaizu.fukushima.jp
三島町	town.mishima.fukushima.jp
金山町	town.kaneyama.fukushima.jp
昭和村	vill.showa.fukushima.jp
会津美里町	town.aizumisato.fukushima.jp
西郷村	vill.nishigo.fukushima.jp
泉崎村	vill.izumizaki.fukushima.jp
#中島村	vill.nakajima.fukushima.jp
矢吹町	town.yabuki.fukushima.jp
棚倉町	town.tanagura.fukushima.jp
矢祭町	town.yamatsuri.fukushima.jp
塙町	town.hanawa.fukushima.jp
鮫川村	vill.samegawa.fukushima.jp
石川町	town.ishikawa.fukushima.jp
玉川村	vill.tamakawa.fukushima.jp
平田村	vill.hirata.fukushima.jp
浅川町	town.asakawa.fukushima.jp
古殿町	town.furudono.fukushima.jp
三春町	town.miharu.fukushima.jp
小野町	town.ono.fukushima.jp
広野町	town.hirono.fukushima.jp
#楢葉町	town.naraha.fukushima.jp
#富岡町	town.tomioka.fukushima.jp
#川内村	vill.kawauchi.fukushima.jp
#大熊町	town.ookuma.fukushima.jp
双葉町	town.futaba.fukushima.jp
浪江町	town.namie.fukushima.jp
#葛尾村	vill.katsurao.fukushima.jp
#新地町	town.shinchi.fukushima.jp
飯舘村	vill.iitate.fukushima.jp
