#水戸市	city.mito.ibaraki.jp
日立市	city.hitachi.ibaraki.jp
#土浦市	city.tsuchiura.ibaraki.jp
古河市	city.koga.ibaraki.jp
#石岡市	city.ishioka.ibaraki.jp
#結城市	city.yuuki.ibaraki.jp
龍ケ崎市	city.ryugasaki.ibaraki.jp
下妻市	city.shimotsuma.ibaraki.jp
常総市	city.joso.ibaraki.jp
常陸太田市	city.hitachiota.ibaraki.jp
高萩市	city.takahagi.ibaraki.jp
#北茨城市	city.kitaibaraki.ibaraki.jp
笠間市	city.kasama.ibaraki.jp
取手市	city.toride.ibaraki.jp
牛久市	city.ushiku.ibaraki.jp
つくば市	city.tsukuba.ibaraki.jp
#ひたちなか市	city.hitachinaka.ibaraki.jp
鹿嶋市	city.kashima.ibaraki.jp
#潮来市	city.itako.ibaraki.jp
守谷市	city.moriya.ibaraki.jp
常陸大宮市	city.hitachiomiya.ibaraki.jp
那珂市	city.naka.ibaraki.jp
筑西市	city.chikusei.ibaraki.jp
坂東市	city.bando.ibaraki.jp
稲敷市	city.inashiki.ibaraki.jp
かすみがうら市	city.kasumigaura.ibaraki.jp
桜川市	city.sakuragawa.ibaraki.jp
神栖市	city.kamisu.ibaraki.jp
行方市	city.namegata.ibaraki.jp
#鉾田市	city.hokota.ibaraki.jp
#つくばみらい市	city.tsukubamirai.ibaraki.jp
小美玉市	city.omitama.ibaraki.jp
茨城町	town.ibaraki.ibaraki.jp
#大洗町	town.ooarai.ibaraki.jp
城里町	town.shirosato.ibaraki.jp
東海村	vill.tokai.ibaraki.jp
大子町	town.daigo.ibaraki.jp
美浦村	vill.miho.ibaraki.jp
阿見町	town.ami.ibaraki.jp
#河内町	town.kawachi.ibaraki.jp
#八千代町	town.yachiyo.ibaraki.jp
#五霞町	town.goka.ibaraki.jp
境町	town.sakai.ibaraki.jp
利根町	town.tone.ibaraki.jp
