宇都宮市	city.utsunomiya.tochigi.jp
足利市	city.ashikaga.tochigi.jp
#栃木市	city.tochigi.tochigi.jp
#佐野市	city.sano.tochigi.jp
鹿沼市	city.kanuma.tochigi.jp
#日光市	city.nikko.tochigi.jp
小山市	city.oyama.tochigi.jp
真岡市	city.moka.tochigi.jp
大田原市	city.ohtawara.tochigi.jp
矢板市	city.yaita.tochigi.jp
#那須塩原市	city.nasushiobara.tochigi.jp
#さくら市	city.sakura.tochigi.jp
#那須烏山市	city.nasukarasuyama.tochigi.jp
#下野市	city.shimotsuke.tochigi.jp
上三川町	town.kaminokawa.tochigi.jp
益子町	town.mashiko.tochigi.jp
茂木町	town.motegi.tochigi.jp
市貝町	town.ichikai.tochigi.jp
芳賀町	town.haga.tochigi.jp
壬生町	town.mibu.tochigi.jp
#野木町	town.nogi.tochigi.jp
塩谷町	town.shioya.tochigi.jp
高根沢町	town.takanezawa.tochigi.jp
那須町	town.nasu.tochigi.jp
#那珂川町	town.nakagawa.tochigi.jp
