前橋市	city.maebashi.gunma.jp
高崎市	city.takasaki.gunma.jp
桐生市	city.kiryu.gunma.jp
#伊勢崎市	city.isesaki.gunma.jp
太田市	city.ota.gunma.jp
沼田市	city.numata.gunma.jp
館林市	city.tatebayashi.gunma.jp
渋川市	city.shibukawa.gunma.jp
藤岡市	city.fujioka.gunma.jp
#富岡市	city.tomioka.gunma.jp
安中市	city.annaka.gunma.jp
みどり市	city.midori.gunma.jp
榛東村	vill.shinto.gunma.jp
吉岡町	town.yoshioka.gunma.jp
上野村	vill.ueno.gunma.jp
神流町	town.kanna.gunma.jp
下仁田町	town.shimonita.gunma.jp
南牧村	vill.nanmoku.gunma.jp
甘楽町	town.kanra.gunma.jp
中之条町	town.nakanojo.gunma.jp
長野原町	town.naganohara.gunma.jp
嬬恋村	vill.tsumagoi.gunma.jp
草津町	town.kusatsu.gunma.jp
高山村	vill.takayama.gunma.jp
東吾妻町	town.higashiagatsuma.gunma.jp
片品村	vill.katashina.gunma.jp
川場村	vill.kawaba.gunma.jp
昭和村	vill.showa.gunma.jp
みなかみ町	town.minakami.gunma.jp
#玉村町	town.tamamura.gunma.jp
板倉町	town.itakura.gunma.jp
明和町	town.meiwa.gunma.jp
千代田町	town.chiyoda.gunma.jp
大泉町	town.oizumi.gunma.jp
邑楽町	town.ora.gunma.jp
