千代田区	city.chiyoda.tokyo.jp
中央区	city.chuo.tokyo.jp
港区	city.minato.tokyo.jp
#新宿区	city.shinjuku.tokyo.jp
文京区	city.bunkyo.tokyo.jp
台東区	city.taito.tokyo.jp
墨田区	city.sumida.tokyo.jp
江東区	city.koto.tokyo.jp
品川区	city.shinagawa.tokyo.jp
目黒区	city.meguro.tokyo.jp
#大田区	city.oota.tokyo.jp
世田谷区	city.setagaya.tokyo.jp
渋谷区	city.shibuya.tokyo.jp
中野区	city.nakano.tokyo.jp
杉並区	city.suginami.tokyo.jp
豊島区	city.toshima.tokyo.jp
北区	city.kita.tokyo.jp
荒川区	city.arakawa.tokyo.jp
板橋区	city.itabashi.tokyo.jp
練馬区	city.nerima.tokyo.jp
足立区	city.adachi.tokyo.jp
葛飾区	city.katsushika.tokyo.jp
江戸川区	city.edogawa.tokyo.jp
八王子市	city.hachioji.tokyo.jp
#立川市	city.tachikawa.tokyo.jp
#武蔵野市	city.musashino.tokyo.jp
三鷹市	city.mitaka.tokyo.jp
青梅市	city.ome.tokyo.jp
府中市	city.fuchu.tokyo.jp
昭島市	city.akishima.tokyo.jp
調布市	city.chofu.tokyo.jp
町田市	city.machida.tokyo.jp
#小金井市	city.koganei.tokyo.jp
小平市	city.kodaira.tokyo.jp
日野市	city.hino.tokyo.jp
東村山市	city.higashimurayama.tokyo.jp
国分寺市	city.kokubunji.tokyo.jp
国立市	city.kunitachi.tokyo.jp
福生市	city.fussa.tokyo.jp
狛江市	city.komae.tokyo.jp
#東大和市	city.higashiyamato.tokyo.jp
#清瀬市	city.kiyose.tokyo.jp
#東久留米市	city.higashikurume.tokyo.jp
#武蔵村山市	city.musashimurayama.tokyo.jp
多摩市	city.tama.tokyo.jp
稲城市	city.inagi.tokyo.jp
羽村市	city.hamura.tokyo.jp
あきる野市	city.akiruno.tokyo.jp
#西東京市	city.nishitokyo.tokyo.jp
瑞穂町	town.mizuho.tokyo.jp
日の出町	town.hinode.tokyo.jp
檜原村	vill.hinohara.tokyo.jp
奥多摩町	town.okutama.tokyo.jp
#大島町	town.ooshima.tokyo.jp
#利島村	vill.toshima.tokyo.jp
#新島村	vill.niijima.tokyo.jp
#神津島村	vill.kozushima.tokyo.jp
#三宅村	vill.miyake.tokyo.jp
#御蔵島村	vill.mikurajima.tokyo.jp
八丈町	town.hachijo.tokyo.jp
青ヶ島村	vill.aogashima.tokyo.jp
小笠原村	vill.ogasawara.tokyo.jp
