横浜市	city.yokohama.jp
川崎市	city.kawasaki.jp
相模原市	city.sagamihara.kanagawa.jp
横須賀市	city.yokosuka.kanagawa.jp
平塚市	city.hiratsuka.kanagawa.jp
鎌倉市	city.kamakura.kanagawa.jp
藤沢市	city.fujisawa.kanagawa.jp
小田原市	city.odawara.kanagawa.jp
茅ヶ崎市	city.chigasaki.kanagawa.jp
逗子市	city.zushi.kanagawa.jp
三浦市	city.miura.kanagawa.jp
秦野市	city.hadano.kanagawa.jp
厚木市	city.atsugi.kanagawa.jp
大和市	city.yamato.kanagawa.jp
伊勢原市	city.isehara.kanagawa.jp
海老名市	city.ebina.kanagawa.jp
座間市	city.zama.kanagawa.jp
南足柄市	city.minamiashigara.kanagawa.jp
綾瀬市	city.ayase.kanagawa.jp
葉山町	town.hayama.kanagawa.jp
寒川町	town.samukawa.kanagawa.jp
#大磯町	town.ooiso.kanagawa.jp
二宮町	town.ninomiya.kanagawa.jp
中井町	town.nakai.kanagawa.jp
#大井町	town.ooi.kanagawa.jp
松田町	town.matsuda.kanagawa.jp
山北町	town.yamakita.kanagawa.jp
開成町	town.kaisei.kanagawa.jp
箱根町	town.hakone.kanagawa.jp
#真鶴町	town.manatsuru.kanagawa.jp
湯河原町	town.yugawara.kanagawa.jp
愛川町	town.aikawa.kanagawa.jp
#清川村	vill.kiyokawa.kanagawa.jp
