新潟市	city.niigata.jp
長岡市	city.nagaoka.niigata.jp
三条市	city.sanjo.niigata.jp
柏崎市	city.kashiwazaki.niigata.jp
新発田市	city.shibata.niigata.jp
小千谷市	city.ojiya.niigata.jp
加茂市	city.kamo.niigata.jp
#十日町市	city.tookamachi.niigata.jp
見附市	city.mitsuke.niigata.jp
村上市	city.murakami.niigata.jp
燕市	city.tsubame.niigata.jp
糸魚川市	city.itoigawa.niigata.jp
妙高市	city.myoko.niigata.jp
五泉市	city.gosen.niigata.jp
上越市	city.joetsu.niigata.jp
阿賀野市	city.agano.niigata.jp
佐渡市	city.sado.niigata.jp
魚沼市	city.uonuma.niigata.jp
南魚沼市	city.minamiuonuma.niigata.jp
胎内市	city.tainai.niigata.jp
聖籠町	town.seiro.niigata.jp
弥彦村	vill.yahiko.niigata.jp
田上町	town.tagami.niigata.jp
阿賀町	town.aga.niigata.jp
出雲崎町	town.izumozaki.niigata.jp
#湯沢町	town.yuzawa.niigata.jp
津南町	town.tsunan.niigata.jp
刈羽村	vill.kariwa.niigata.jp
関川村	vill.sekikawa.niigata.jp
#粟島浦村	vill.awashimaura.niigata.jp
