甲府市	city.kofu.yamanashi.jp
富士吉田市	city.fujiyoshida.yamanashi.jp
都留市	city.tsuru.yamanashi.jp
山梨市	city.yamanashi.yamanashi.jp
大月市	city.otsuki.yamanashi.jp
韮崎市	city.nirasaki.yamanashi.jp
#南アルプス市	city.minamiarupusu.yamanashi.jp
北杜市	city.hokuto.yamanashi.jp
甲斐市	city.kai.yamanashi.jp
笛吹市	city.fuefuki.yamanashi.jp
上野原市	city.uenohara.yamanashi.jp
甲州市	city.koshu.yamanashi.jp
中央市	city.chuo.yamanashi.jp
市川三郷町	town.ichikawamisato.yamanashi.jp
早川町	town.hayakawa.yamanashi.jp
身延町	town.minobu.yamanashi.jp
南部町	town.nanbu.yamanashi.jp
富士川町	town.fujikawa.yamanashi.jp
昭和町	town.showa.yamanashi.jp
道志村	vill.doshi.yamanashi.jp
西桂町	town.nishikatsura.yamanashi.jp
忍野村	vill.oshino.yamanashi.jp
山中湖村	vill.yamanakako.yamanashi.jp
鳴沢村	vill.narusawa.yamanashi.jp
富士河口湖町	town.fujikawaguchiko.yamanashi.jp
小菅村	vill.kosuge.yamanashi.jp
丹波山村	vill.tabayama.yamanashi.jp
