長野市	city.nagano.nagano.jp
松本市	city.matsumoto.nagano.jp
上田市	city.ueda.nagano.jp
岡谷市	city.okaya.nagano.jp
飯田市	city.iida.nagano.jp
#諏訪市	city.suwa.nagano.jp
須坂市	city.suzaka.nagano.jp
小諸市	city.komoro.nagano.jp
伊那市	city.ina.nagano.jp
駒ヶ根市	city.komagane.nagano.jp
中野市	city.nakano.nagano.jp
大町市	city.omachi.nagano.jp
飯山市	city.iiyama.nagano.jp
茅野市	city.chino.nagano.jp
塩尻市	city.shiojiri.nagano.jp
佐久市	city.saku.nagano.jp
千曲市	city.chikuma.nagano.jp
東御市	city.tomi.nagano.jp
安曇野市	city.azumino.nagano.jp
#小海町	town.komi.nagano.jp
川上村	vill.kawakami.nagano.jp
南牧村	vill.minamimaki.nagano.jp
南相木村	vill.minamiaiki.nagano.jp
北相木村	vill.kitaaiki.nagano.jp
佐久穂町	town.sakuho.nagano.jp
軽井沢町	town.karuizawa.nagano.jp
御代田町	town.miyota.nagano.jp
立科町	town.tateshina.nagano.jp
青木村	vill.aoki.nagano.jp
長和町	town.nagawa.nagano.jp
#下諏訪町	town.shimosuwa.nagano.jp
#富士見町	town.fujimi.nagano.jp
原村	vill.hara.nagano.jp
辰野町	town.tatsuno.nagano.jp
箕輪町	town.minowa.nagano.jp
飯島町	town.iijima.nagano.jp
南箕輪村	vill.minamiminowa.nagano.jp
中川村	vill.nakagawa.nagano.jp
宮田村	vill.miyada.nagano.jp
#松川町	town.matsukawa.nagano.jp
#高森町	town.takamori.nagano.jp
阿南町	town.anan.nagano.jp
阿智村	vill.achi.nagano.jp
平谷村	vill.hiraya.nagano.jp
#根羽村	vill.neba.nagano.jp
#下條村	vill.shimojo.nagano.jp
#売木村	vill.urugi.nagano.jp
#天龍村	vill.tenryu.nagano.jp
泰阜村	vill.yasuoka.nagano.jp
喬木村	vill.takagi.nagano.jp
#豊丘村	vill.toyooka.nagano.jp
大鹿村	vill.ooshika.nagano.jp
上松町	town.agematsu.nagano.jp
南木曽町	town.nagiso.nagano.jp
木祖村	vill.kiso.nagano.jp
王滝村	vill.otaki.nagano.jp
大桑村	vill.ookuwa.nagano.jp
#木曽町	town.kiso.nagano.jp
麻績村	vill.omi.nagano.jp
生坂村	vill.ikusaka.nagano.jp
山形村	vill.yamagata.nagano.jp
朝日村	vill.asahi.nagano.jp
筑北村	vill.chikuhoku.nagano.jp
池田町	town.ikeda.nagano.jp
松川村	vill.matsukawa.nagano.jp
白馬村	vill.hakuba.nagano.jp
小谷村	vill.otari.nagano.jp
坂城町	town.sakaki.nagano.jp
小布施町	town.obuse.nagano.jp
高山村	vill.takayama.nagano.jp
山ノ内町	town.yamanouchi.nagano.jp
#木島平村	vill.kijimadaira.nagano.jp
野沢温泉村	vill.nozawaonsen.nagano.jp
#信濃町	town.shinano.nagano.jp
小川村	vill.ogawa.nagano.jp
飯綱町	town.iizuna.nagano.jp
栄村	vill.sakae.nagano.jp
