岐阜市	city.gifu.gifu.jp
#大垣市	city.oogaki.gifu.jp
高山市	city.takayama.gifu.jp
多治見市	city.tajimi.gifu.jp
関市	city.seki.gifu.jp
中津川市	city.nakatsugawa.gifu.jp
美濃市	city.mino.gifu.jp
瑞浪市	city.mizunami.gifu.jp
羽島市	city.hashima.gifu.jp
恵那市	city.ena.gifu.jp
美濃加茂市	city.minokamo.gifu.jp
土岐市	city.toki.gifu.jp
各務原市	city.kakamigahara.gifu.jp
可児市	city.kani.gifu.jp
山県市	city.yamagata.gifu.jp
#瑞穂市	city.mizuho.gifu.jp
飛騨市	city.hida.gifu.jp
#本巣市	city.motosu.gifu.jp
郡上市	city.gujo.gifu.jp
#下呂市	city.gero.gifu.jp
#海津市	city.kaizu.gifu.jp
岐南町	town.ginan.gifu.jp
笠松町	town.kasamatsu.gifu.jp
養老町	town.yoro.gifu.jp
#垂井町	town.tarui.gifu.jp
関ケ原町	town.sekigahara.gifu.jp
神戸町	town.godo.gifu.jp
#輪之内町	town.wanochi.gifu.jp
#安八町	town.ampachi.gifu.jp
揖斐川町	town.ibigawa.gifu.jp
#大野町	town.oono.gifu.jp
池田町	town.ikeda.gifu.jp
北方町	town.kitagata.gifu.jp
坂祝町	town.sakahogi.gifu.jp
富加町	town.tomika.gifu.jp
#川辺町	town.kawabe.gifu.jp
#七宗町	town.hichiso.gifu.jp
八百津町	town.yaotsu.gifu.jp
白川町	town.shirakawa.gifu.jp
東白川村	vill.higashishirakawa.gifu.jp
御嵩町	town.mitake.gifu.jp
#白川村	vill.shirakawa.gifu.jp
