静岡市	city.shizuoka.jp
浜松市	city.hamamatsu.shizuoka.jp
沼津市	city.numazu.shizuoka.jp
熱海市	city.atami.shizuoka.jp
三島市	city.mishima.shizuoka.jp
富士宮市	city.fujinomiya.shizuoka.jp
伊東市	city.ito.shizuoka.jp
島田市	city.shimada.shizuoka.jp
富士市	city.fuji.shizuoka.jp
磐田市	city.iwata.shizuoka.jp
焼津市	city.yaizu.shizuoka.jp
掛川市	city.kakegawa.shizuoka.jp
藤枝市	city.fujieda.shizuoka.jp
御殿場市	city.gotemba.shizuoka.jp
袋井市	city.fukuroi.shizuoka.jp
下田市	city.shimoda.shizuoka.jp
裾野市	city.susono.shizuoka.jp
湖西市	city.kosai.shizuoka.jp
伊豆市	city.izu.shizuoka.jp
御前崎市	city.omaezaki.shizuoka.jp
菊川市	city.kikugawa.shizuoka.jp
伊豆の国市	city.izunokuni.shizuoka.jp
牧之原市	city.makinohara.shizuoka.jp
東伊豆町	town.higashiizu.shizuoka.jp
河津町	town.kawazu.shizuoka.jp
南伊豆町	town.minamiizu.shizuoka.jp
松崎町	town.matsuzaki.shizuoka.jp
西伊豆町	town.nishiizu.shizuoka.jp
函南町	town.kannami.shizuoka.jp
清水町	town.shimizu.shizuoka.jp
#長泉町	town.nagaizumi.shizuoka.jp
#小山町	town.oyama.shizuoka.jp
吉田町	town.yoshida.shizuoka.jp
川根本町	town.kawanehon.shizuoka.jp
#森町	town.mori.shizuoka.jp
