京都市	city.kyoto.jp
福知山市	city.fukuchiyama.kyoto.jp
舞鶴市	city.maizuru.kyoto.jp
#綾部市	city.ayabe.kyoto.jp
宇治市	city.uji.kyoto.jp
宮津市	city.miyazu.kyoto.jp
亀岡市	city.kameoka.kyoto.jp
城陽市	city.joyo.kyoto.jp
向日市	city.muko.kyoto.jp
#長岡京市	city.nagaokakyo.kyoto.jp
八幡市	city.yawata.kyoto.jp
#京田辺市	city.kyotanabe.kyoto.jp
京丹後市	city.kyotango.kyoto.jp
南丹市	city.nantan.kyoto.jp
#木津川市	city.kizugawa.kyoto.jp
大山崎町	town.oyamazaki.kyoto.jp
久御山町	town.kumiyama.kyoto.jp
井手町	town.ide.kyoto.jp
宇治田原町	town.ujitawara.kyoto.jp
#笠置町	town.kasagi.kyoto.jp
和束町	town.wazuka.kyoto.jp
精華町	town.seika.kyoto.jp
#南山城村	vill.minamiyamashiro.kyoto.jp
京丹波町	town.kyotamba.kyoto.jp
伊根町	town.ine.kyoto.jp
#与謝野町	town.yosano.kyoto.jp
