大阪市	city.osaka.jp
堺市	city.sakai.osaka.jp
岸和田市	city.kishiwada.osaka.jp
豊中市	city.toyonaka.osaka.jp
池田市	city.ikeda.osaka.jp
吹田市	city.suita.osaka.jp
泉大津市	city.izumiotsu.osaka.jp
高槻市	city.takatsuki.osaka.jp
貝塚市	city.kaizuka.osaka.jp
守口市	city.moriguchi.osaka.jp
枚方市	city.hirakata.osaka.jp
茨木市	city.ibaraki.osaka.jp
八尾市	city.yao.osaka.jp
泉佐野市	city.izumisano.osaka.jp
富田林市	city.tondabayashi.osaka.jp
寝屋川市	city.neyagawa.osaka.jp
#河内長野市	city.kawachinagano.osaka.jp
松原市	city.matsubara.osaka.jp
大東市	city.daito.osaka.jp
和泉市	city.izumi.osaka.jp
箕面市	city.minoh.osaka.jp
柏原市	city.kashiwara.osaka.jp
羽曳野市	city.habikino.osaka.jp
門真市	city.kadoma.osaka.jp
摂津市	city.settsu.osaka.jp
#高石市	city.takaishi.osaka.jp
藤井寺市	city.fujiidera.osaka.jp
東大阪市	city.higashiosaka.osaka.jp
泉南市	city.sennan.osaka.jp
#四條畷市	city.shijiyonawate.osaka.jp
交野市	city.katano.osaka.jp
大阪狭山市	city.osakasayama.osaka.jp
阪南市	city.hannan.osaka.jp
島本町	town.shimamoto.osaka.jp
豊能町	town.toyono.osaka.jp
能勢町	town.nose.osaka.jp
忠岡町	town.tadaoka.osaka.jp
#熊取町	town.kumatori.osaka.jp
田尻町	town.tajiri.osaka.jp
岬町	town.misaki.osaka.jp
太子町	town.taishi.osaka.jp
河南町	town.kanan.osaka.jp
千早赤阪村	vill.chihayaakasaka.osaka.jp
