神戸市	city.kobe.jp
姫路市	city.himeji.hyogo.jp
尼崎市	city.amagasaki.hyogo.jp
明石市	city.akashi.hyogo.jp
#西宮市	city.nishinomiya.hyogo.jp
洲本市	city.sumoto.hyogo.jp
芦屋市	city.ashiya.hyogo.jp
伊丹市	city.itami.hyogo.jp
相生市	city.aioi.hyogo.jp
豊岡市	city.toyooka.hyogo.jp
加古川市	city.kakogawa.hyogo.jp
#赤穂市	city.ako.hyogo.jp
#西脇市	city.nishiwaki.hyogo.jp
宝塚市	city.takarazuka.hyogo.jp
三木市	city.miki.hyogo.jp
高砂市	city.takasago.hyogo.jp
川西市	city.kawanishi.hyogo.jp
小野市	city.ono.hyogo.jp
三田市	city.sanda.hyogo.jp
加西市	city.kasai.hyogo.jp
#丹波篠山市	city.tambasasayama.hyogo.jp
養父市	city.yabu.hyogo.jp
#丹波市	city.tamba.hyogo.jp
南あわじ市	city.minamiawaji.hyogo.jp
朝来市	city.asago.hyogo.jp
淡路市	city.awaji.hyogo.jp
宍粟市	city.shiso.hyogo.jp
#加東市	city.kato.hyogo.jp
たつの市	city.tatsuno.hyogo.jp
猪名川町	town.inagawa.hyogo.jp
#多可町	town.taka.hyogo.jp
#稲美町	town.inami.hyogo.jp
#播磨町	town.harima.hyogo.jp
市川町	town.ichikawa.hyogo.jp
福崎町	town.fukusaki.hyogo.jp
神河町	town.kamikawa.hyogo.jp
太子町	town.taishi.hyogo.jp
#上郡町	town.kamigoori.hyogo.jp
佐用町	town.sayo.hyogo.jp
#香美町	town.kami.hyogo.jp
新温泉町	town.shinonsen.hyogo.jp
