奈良市	city.nara.nara.jp
大和高田市	city.yamatotakada.nara.jp
大和郡山市	city.yamatokoriyama.nara.jp
天理市	city.tenri.nara.jp
橿原市	city.kashihara.nara.jp
#桜井市	city.sakurai.nara.jp
#五條市	city.gojo.nara.jp
御所市	city.gose.nara.jp
生駒市	city.ikoma.nara.jp
香芝市	city.kashiba.nara.jp
葛城市	city.katsuragi.nara.jp
宇陀市	city.uda.nara.jp
山添村	vill.yamazoe.nara.jp
平群町	town.heguri.nara.jp
三郷町	town.sango.nara.jp
斑鳩町	town.ikaruga.nara.jp
安堵町	town.ando.nara.jp
川西町	town.kawanishi.nara.jp
三宅町	town.miyake.nara.jp
田原本町	town.tawaramoto.nara.jp
曽爾村	vill.soni.nara.jp
御杖村	vill.mitsue.nara.jp
高取町	town.takatori.nara.jp
#明日香村	vill.asuka.nara.jp
上牧町	town.kanmaki.nara.jp
王寺町	town.oji.nara.jp
広陵町	town.koryo.nara.jp
河合町	town.kawai.nara.jp
吉野町	town.yoshino.nara.jp
大淀町	town.oyodo.nara.jp
下市町	town.shimoichi.nara.jp
黒滝村	vill.kurotaki.nara.jp
天川村	vill.tenkawa.nara.jp
野迫川村	vill.nosegawa.nara.jp
#十津川村	vill.totsukawa.nara.jp
下北山村	vill.shimokitayama.nara.jp
上北山村	vill.kamikitayama.nara.jp
川上村	vill.kawakami.nara.jp
東吉野村	vill.higashiyoshino.nara.jp
