和歌山市	city.wakayama.wakayama.jp
海南市	city.kainan.wakayama.jp
橋本市	city.hashimoto.wakayama.jp
有田市	city.arida.wakayama.jp
御坊市	city.gobo.wakayama.jp
#田辺市	city.tanabe.wakayama.jp
新宮市	city.shingu.wakayama.jp
紀の川市	city.kinokawa.wakayama.jp
岩出市	city.iwade.wakayama.jp
紀美野町	town.kimino.wakayama.jp
かつらぎ町	town.katsuragi.wakayama.jp
九度山町	town.kudoyama.wakayama.jp
高野町	town.koya.wakayama.jp
湯浅町	town.yuasa.wakayama.jp
広川町	town.hirogawa.wakayama.jp
#有田川町	town.aridagawa.wakayama.jp
美浜町	town.mihama.wakayama.jp
日高町	town.hidaka.wakayama.jp
由良町	town.yura.wakayama.jp
印南町	town.inami.wakayama.jp
#みなべ町	town.minabe.wakayama.jp
#日高川町	town.hidakagawa.wakayama.jp
白浜町	town.shirahama.wakayama.jp
上富田町	town.kamitonda.wakayama.jp
#すさみ町	town.susami.wakayama.jp
那智勝浦町	town.nachikatsuura.wakayama.jp
太地町	town.taiji.wakayama.jp
古座川町	town.kozagawa.wakayama.jp
北山村	vill.kitayama.wakayama.jp
串本町	town.kushimoto.wakayama.jp
