鳥取市	city.tottori.tottori.jp
#米子市	city.yonago.tottori.jp
#倉吉市	city.kurayoshi.tottori.jp
境港市	city.sakaiminato.tottori.jp
#岩美町	town.iwami.tottori.jp
若桜町	town.wakasa.tottori.jp
智頭町	town.chizu.tottori.jp
八頭町	town.yazu.tottori.jp
三朝町	town.misasa.tottori.jp
#湯梨浜町	town.yurihama.tottori.jp
#琴浦町	town.kotora.tottori.jp
#北栄町	town.hokuei.tottori.jp
#日吉津村	vill.hiezu.tottori.jp
#大山町	town.daisen.tottori.jp
#南部町	town.nambu.tottori.jp
#伯耆町	town.hoki.tottori.jp
日南町	town.nichinan.tottori.jp
日野町	town.hino.tottori.jp
#江府町	town.kofu.tottori.jp
