松江市	city.matsue.shimane.jp
浜田市	city.hamada.shimane.jp
出雲市	city.izumo.shimane.jp
#益田市	city.masuda.shimane.jp
#大田市	city.ooda.shimane.jp
安来市	city.yasugi.shimane.jp
#江津市	city.gotsu.shimane.jp
雲南市	city.unnan.shimane.jp
奥出雲町	town.okuizumo.shimane.jp
#飯南町	town.iinan.shimane.jp
#川本町	town.kawamoto.shimane.jp
美郷町	town.misato.shimane.jp
#邑南町	town.oonan.shimane.jp
津和野町	town.tsuwano.shimane.jp
#吉賀町	town.yoshika.shimane.jp
海士町	town.ama.shimane.jp
西ノ島町	town.nishinoshima.shimane.jp
#知夫村	vill.chibu.shimane.jp
隠岐の島町	town.okinoshima.shimane.jp
