下関市	city.shimonoseki.yamaguchi.jp
宇部市	city.ube.yamaguchi.jp
#山口市	city.yamaguchi.yamaguchi.jp
#萩市	city.hagi.yamaguchi.jp
防府市	city.hofu.yamaguchi.jp
下松市	city.kudamatsu.yamaguchi.jp
岩国市	city.iwakuni.yamaguchi.jp
光市	city.hikari.yamaguchi.jp
長門市	city.nagato.yamaguchi.jp
#柳井市	city.yanai.yamaguchi.jp
#美祢市	city.mine.yamaguchi.jp
#周南市	city.shunan.yamaguchi.jp
#山陽小野田市	city.sanyoonoda.yamaguchi.jp
#周防大島町	town.suoooshima.yamaguchi.jp
#和木町	town.waki.yamaguchi.jp
#上関町	town.kaminoseki.yamaguchi.jp
田布施町	town.tabuse.yamaguchi.jp
#平生町	town.hirao.yamaguchi.jp
#阿武町	town.abu.yamaguchi.jp
