徳島市	city.tokushima.tokushima.jp
鳴門市	city.naruto.tokushima.jp
#小松島市	city.komatsushima.tokushima.jp
阿南市	city.anan.tokushima.jp
#吉野川市	city.yoshinogawa.tokushima.jp
#阿波市	city.awa.tokushima.jp
美馬市	city.mima.tokushima.jp
三好市	city.miyoshi.tokushima.jp
#勝浦町	town.katsuura.tokushima.jp
#上勝町	town.kamikatsu.tokushima.jp
佐那河内村	vill.sanagochi.tokushima.jp
#石井町	town.ishii.tokushima.jp
#神山町	town.kamiyama.tokushima.jp
#那賀町	town.naka.tokushima.jp
牟岐町	town.mugi.tokushima.jp
#美波町	town.minami.tokushima.jp
#海陽町	town.kaiyo.tokushima.jp
松茂町	town.matsushige.tokushima.jp
#北島町	town.kitajima.tokushima.jp
藍住町	town.aizumi.tokushima.jp
板野町	town.itano.tokushima.jp
#上板町	town.kamiita.tokushima.jp
#つるぎ町	town.tsurugi.tokushima.jp
#東みよし町	town.higashimiyoshi.tokushima.jp
