長崎市	city.nagasaki.nagasaki.jp
佐世保市	city.sasebo.nagasaki.jp
島原市	city.shimabara.nagasaki.jp
諫早市	city.isahaya.nagasaki.jp
#大村市	city.oomura.nagasaki.jp
平戸市	city.hirado.nagasaki.jp
#松浦市	city.matsuura.nagasaki.jp
対馬市	city.tsushima.nagasaki.jp
壱岐市	city.iki.nagasaki.jp
五島市	city.goto.nagasaki.jp
西海市	city.saikai.nagasaki.jp
雲仙市	city.unzen.nagasaki.jp
#南島原市	city.minamishimabara.nagasaki.jp
#長与町	town.nagayo.nagasaki.jp
時津町	town.togitsu.nagasaki.jp
#東彼杵町	town.higashisonogi.nagasaki.jp
#川棚町	town.kawatana.nagasaki.jp
波佐見町	town.hasami.nagasaki.jp
#小値賀町	town.ojika.nagasaki.jp
#佐々町	town.saza.nagasaki.jp
新上五島町	town.shinkamigoto.nagasaki.jp
