熊本市	city.kumamoto.kumamoto.jp
八代市	city.yatsushiro.kumamoto.jp
#人吉市	city.hitoyoshi.kumamoto.jp
荒尾市	city.arao.kumamoto.jp
水俣市	city.minamata.kumamoto.jp
#玉名市	city.tamana.kumamoto.jp
山鹿市	city.yamaga.kumamoto.jp
菊池市	city.kikuchi.kumamoto.jp
#宇土市	city.uto.kumamoto.jp
上天草市	city.kamiamakusa.kumamoto.jp
宇城市	city.uki.kumamoto.jp
阿蘇市	city.aso.kumamoto.jp
天草市	city.amakusa.kumamoto.jp
#合志市	city.koshi.kumamoto.jp
#美里町	town.misato.kumamoto.jp
玉東町	town.gyokuto.kumamoto.jp
#南関町	town.nankan.kumamoto.jp
#長洲町	town.nagasu.kumamoto.jp
#和水町	town.nagomi.kumamoto.jp
#大津町	town.oozu.kumamoto.jp
#菊陽町	town.kikuyo.kumamoto.jp
南小国町	town.minamioguni.kumamoto.jp
小国町	town.oguni.kumamoto.jp
#産山村	vill.ubuyama.kumamoto.jp
高森町	town.takamori.kumamoto.jp
西原村	vill.nishihara.kumamoto.jp
#南阿蘇村	vill.minamiaso.kumamoto.jp
御船町	town.mifune.kumamoto.jp
#嘉島町	town.kashima.kumamoto.jp
#益城町	town.mashiki.kumamoto.jp
#甲佐町	town.kosa.kumamoto.jp
山都町	town.yamato.kumamoto.jp
#氷川町	town.hikawa.kumamoto.jp
#芦北町	town.ashikita.kumamoto.jp
#津奈木町	town.tsunagi.kumamoto.jp
#錦町	town.nishiki.kumamoto.jp
#多良木町	town.taragi.kumamoto.jp
#湯前町	town.yunomae.kumamoto.jp
#水上村	vill.mizukami.kumamoto.jp
#相良村	vill.sagara.kumamoto.jp
#五木村	vill.itsuki.kumamoto.jp
#山江村	vill.yamae.kumamoto.jp
#球磨村	vill.kuma.kumamoto.jp
#あさぎり町	town.asagiri.kumamoto.jp
#苓北町	town.reihoku.kumamoto.jp
