宮崎市	city.miyazaki.miyazaki.jp
都城市	city.miyakonojo.miyazaki.jp
延岡市	city.nobeoka.miyazaki.jp
#日南市	city.nichinan.miyazaki.jp
#小林市	city.kobayashi.miyazaki.jp
日向市	city.hyuga.miyazaki.jp
#串間市	city.kushima.miyazaki.jp
#西都市	city.saito.miyazaki.jp
#えびの市	city.ebino.miyazaki.jp
三股町	town.mimata.miyazaki.jp
#高原町	town.takaharu.miyazaki.jp
国富町	town.kunitomi.miyazaki.jp
綾町	town.aya.miyazaki.jp
#高鍋町	town.takanabe.miyazaki.jp
#新富町	town.shintomi.miyazaki.jp
#西米良村	vill.nishimera.miyazaki.jp
#木城町	town.kijo.miyazaki.jp
川南町	town.kawaminami.miyazaki.jp
#都農町	town.tsuno.miyazaki.jp
#門川町	town.kadogawa.miyazaki.jp
諸塚村	vill.morotsuka.miyazaki.jp
椎葉村	vill.shiiba.miyazaki.jp
#美郷町	town.misato.miyazaki.jp
#高千穂町	town.takachiho.miyazaki.jp
#日之影町	town.hinokage.miyazaki.jp
五ヶ瀬町	town.gokase.miyazaki.jp
