#鹿児島市	city.kagoshima.kagoshima.jp
#鹿屋市	city.kanoya.kagoshima.jp
#枕崎市	city.makurazaki.kagoshima.jp
阿久根市	city.akune.kagoshima.jp
出水市	city.izumi.kagoshima.jp
#指宿市	city.ibusuki.kagoshima.jp
西之表市	city.nishinoomote.kagoshima.jp
垂水市	city.tarumizu.kagoshima.jp
#薩摩川内市	city.satsumasendai.kagoshima.jp
日置市	city.hioki.kagoshima.jp
曽於市	city.soo.kagoshima.jp
#霧島市	city.kirishima.kagoshima.jp
#いちき串木野市	city.ichikikushikino.kagoshima.jp
#南さつま市	city.minamisatsuma.kagoshima.jp
#志布志市	city.shibushi.kagoshima.jp
奄美市	city.amami.kagoshima.jp
#南九州市	city.minamikyushu.kagoshima.jp
伊佐市	city.isa.kagoshima.jp
#姶良市	city.aira.kagoshima.jp
#三島村	vill.mishima.kagoshima.jp
#十島村	vill.toshima.kagoshima.jp
#さつま町	town.satsuma.kagoshima.jp
#長島町	town.nagashima.kagoshima.jp
湧水町	town.yusui.kagoshima.jp
#大崎町	town.oosaki.kagoshima.jp
#東串良町	town.higashikushira.kagoshima.jp
錦江町	town.kinko.kagoshima.jp
#南大隅町	town.minamioosumi.kagoshima.jp
#肝付町	town.kimotsuki.kagoshima.jp
中種子町	town.nakatane.kagoshima.jp
南種子町	town.minamitane.kagoshima.jp
#屋久島町	town.yakushima.kagoshima.jp
#大和村	vill.yamato.kagoshima.jp
#宇検村	vill.uken.kagoshima.jp
#瀬戸内町	town.setochi.kagoshima.jp
#龍郷町	town.tatsugo.kagoshima.jp
#喜界町	town.kikai.kagoshima.jp
#徳之島町	town.tokunoshima.kagoshima.jp
#天城町	town.amagi.kagoshima.jp
伊仙町	town.isen.kagoshima.jp
#和泊町	town.wadomari.kagoshima.jp
#知名町	town.china.kagoshima.jp
#与論町	town.yoron.kagoshima.jp
