那覇市	city.naha.okinawa.jp
宜野湾市	city.ginowan.okinawa.jp
石垣市	city.ishigaki.okinawa.jp
浦添市	city.urasoe.okinawa.jp
名護市	city.nago.okinawa.jp
糸満市	city.itoman.okinawa.jp
沖縄市	city.okinawa.okinawa.jp
豊見城市	city.tomigusuku.okinawa.jp
うるま市	city.uruma.okinawa.jp
#宮古島市	city.miyakojima.okinawa.jp
南城市	city.nanjo.okinawa.jp
国頭村	vill.kunigami.okinawa.jp
大宜味村	vill.ogimi.okinawa.jp
東村	vill.higashi.okinawa.jp
#今帰仁村	vill.nakijin.okinawa.jp
本部町	town.motobu.okinawa.jp
恩納村	vill.onna.okinawa.jp
宜野座村	vill.ginoza.okinawa.jp
金武町	town.kin.okinawa.jp
#伊江村	vill.ie.okinawa.jp
読谷村	vill.yomitan.okinawa.jp
嘉手納町	town.kadena.okinawa.jp
#北谷町	town.chiyatan.okinawa.jp
#北中城村	vill.kitanakagusuku.okinawa.jp
中城村	vill.nakagusuku.okinawa.jp
西原町	town.nishihara.okinawa.jp
与那原町	town.yonabaru.okinawa.jp
南風原町	town.haebaru.okinawa.jp
渡嘉敷村	vill.tokashiki.okinawa.jp
座間味村	vill.zamami.okinawa.jp
粟国村	vill.aguni.okinawa.jp
渡名喜村	vill.tonaki.okinawa.jp
南大東村	vill.minamidaito.okinawa.jp
北大東村	vill.kitadaito.okinawa.jp
伊平屋村	vill.iheya.okinawa.jp
伊是名村	vill.izena.okinawa.jp
久米島町	town.kumejima.okinawa.jp
八重瀬町	town.yaese.okinawa.jp
多良間村	vill.tarama.okinawa.jp
竹富町	town.taketomi.okinawa.jp
与那国町	town.yonaguni.okinawa.jp
